Age,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
138,1,41.069,0.0311,37.122,38.098,38.667,38.968,39.432,39.745,40.208,41.069,41.93,42.393,42.706,43.17,43.471,44.04,45.016
139,1,41.0975,0.03109,37.149,38.125,38.694,38.996,39.46,39.773,40.236,41.098,41.959,42.422,42.735,43.199,43.501,44.07,45.046
140,1,41.1259,0.03108,37.176,38.152,38.722,39.023,39.488,39.801,40.264,41.126,41.988,42.451,42.764,43.228,43.53,44.099,45.076
141,1,41.1541,0.03108,37.201,38.179,38.748,39.05,39.515,39.828,40.291,41.154,42.017,42.48,42.793,43.258,43.56,44.13,45.107
142,1,41.1821,0.03107,37.228,38.205,38.776,39.077,39.542,39.856,40.319,41.182,42.045,42.508,42.822,43.287,43.589,44.159,45.136
143,1,41.21,0.03107,37.253,38.231,38.802,39.104,39.569,39.883,40.346,41.21,42.074,42.537,42.851,43.316,43.618,44.189,45.167
144,1,41.2378,0.03106,37.28,38.258,38.829,39.131,39.596,39.91,40.374,41.238,42.102,42.565,42.879,43.345,43.647,44.217,45.196
145,1,41.2653,0.03106,37.305,38.284,38.855,39.157,39.623,39.937,40.401,41.265,42.13,42.594,42.908,43.374,43.676,44.247,45.226
146,1,41.2927,0.03105,37.331,38.31,38.881,39.184,39.65,39.964,40.428,41.293,42.157,42.622,42.936,43.402,43.704,44.275,45.255
147,1,41.32,0.03105,37.355,38.335,38.907,39.21,39.676,39.99,40.455,41.32,42.185,42.65,42.964,43.43,43.733,44.305,45.285
148,1,41.3471,0.03104,37.381,38.361,38.933,39.236,39.702,40.017,40.481,41.347,42.213,42.677,42.992,43.458,43.761,44.333,45.313
149,1,41.3741,0.03104,37.405,38.386,38.959,39.262,39.728,40.043,40.508,41.374,42.24,42.705,43.02,43.487,43.79,44.362,45.343
150,1,41.4009,0.03103,37.431,38.412,38.985,39.288,39.755,40.069,40.534,41.401,42.267,42.732,43.047,43.514,43.817,44.389,45.371
151,1,41.4275,0.03103,37.455,38.437,39.01,39.313,39.78,40.095,40.56,41.428,42.295,42.76,43.075,43.542,43.845,44.418,45.4
152,1,41.454,0.03102,37.48,38.463,39.035,39.339,39.806,40.121,40.587,41.454,42.321,42.787,43.102,43.569,43.873,44.445,45.428
153,1,41.4804,0.03102,37.504,38.487,39.06,39.364,39.831,40.147,40.613,41.48,42.348,42.814,43.129,43.597,43.9,44.474,45.457
154,1,41.5066,0.03101,37.529,38.512,39.086,39.389,39.857,40.173,40.638,41.507,42.375,42.841,43.156,43.624,43.927,44.501,45.484
155,1,41.5327,0.03101,37.553,38.537,39.11,39.414,39.882,40.198,40.664,41.533,42.401,42.868,43.183,43.651,43.955,44.529,45.513
156,1,41.5586,0.031,37.577,38.562,39.136,39.44,39.908,40.223,40.69,41.559,42.428,42.894,43.21,43.678,43.982,44.556,45.54
157,1,41.5844,0.03099,37.602,38.586,39.161,39.465,39.933,40.249,40.715,41.584,42.454,42.92,43.236,43.704,44.008,44.582,45.567
158,1,41.61,0.03099,37.625,38.61,39.185,39.489,39.957,40.274,40.74,41.61,42.48,42.946,43.263,43.731,44.035,44.61,45.595
159,1,41.6355,0.03098,37.65,38.635,39.21,39.514,39.982,40.299,40.765,41.636,42.506,42.972,43.289,43.757,44.061,44.636,45.621
160,1,41.6609,0.03098,37.672,38.658,39.233,39.538,40.007,40.323,40.79,41.661,42.531,42.999,43.315,43.784,44.088,44.663,45.649
161,1,41.6861,0.03098,37.695,38.682,39.257,39.562,40.031,40.348,40.815,41.686,42.557,43.025,43.341,43.81,44.115,44.69,45.677
162,1,41.7112,0.03097,37.719,38.706,39.282,39.586,40.056,40.372,40.84,41.711,42.583,43.05,43.367,43.836,44.141,44.716,45.703
163,1,41.7362,0.03097,37.742,38.729,39.305,39.61,40.08,40.397,40.864,41.736,42.608,43.076,43.393,43.862,44.167,44.743,45.731
164,1,41.761,0.03096,37.766,38.753,39.329,39.634,40.104,40.421,40.889,41.761,42.633,43.101,43.418,43.888,44.193,44.769,45.756
165,1,41.7857,0.03096,37.788,38.776,39.353,39.658,40.128,40.445,40.913,41.786,42.658,43.127,43.444,43.914,44.219,44.795,45.783
166,1,41.8102,0.03095,37.811,38.8,39.376,39.682,40.152,40.469,40.937,41.81,42.683,43.151,43.469,43.939,44.244,44.821,45.809
167,1,41.8346,0.03095,37.833,38.822,39.399,39.705,40.175,40.493,40.961,41.835,42.708,43.177,43.494,43.964,44.27,44.847,45.836
168,1,41.8589,0.03094,37.857,38.846,39.423,39.729,40.199,40.517,40.985,41.859,42.732,43.201,43.519,43.989,44.295,44.872,45.861
169,1,41.8831,0.03094,37.879,38.868,39.446,39.752,40.222,40.54,41.009,41.883,42.757,43.226,43.544,44.015,44.32,44.898,45.888
170,1,41.9071,0.03093,37.902,38.892,39.469,39.775,40.246,40.564,41.033,41.907,42.781,43.251,43.568,44.039,44.345,44.922,45.913
171,1,41.931,0.03093,37.923,38.914,39.492,39.798,40.269,40.587,41.056,41.931,42.806,43.275,43.593,44.064,44.37,44.948,45.939
172,1,41.9548,0.03092,37.946,38.937,39.515,39.821,40.292,40.61,41.08,41.955,42.83,43.299,43.617,44.089,44.395,44.973,45.964
173,1,41.9784,0.03092,37.967,38.959,39.537,39.843,40.315,40.633,41.103,41.978,42.854,43.324,43.642,44.113,44.42,44.998,45.989
174,1,42.0019,0.03091,37.99,38.982,39.56,39.866,40.338,40.656,41.126,42.002,42.878,43.347,43.666,44.137,44.444,45.022,46.014
175,1,42.0253,0.03091,38.011,39.003,39.582,39.889,40.361,40.679,41.149,42.025,42.901,43.372,43.69,44.162,44.468,45.047,46.04
176,1,42.0485,0.0309,38.033,39.026,39.605,39.911,40.383,40.702,41.172,42.049,42.925,43.395,43.714,44.186,44.492,45.071,46.064
177,1,42.0717,0.0309,38.054,39.047,39.627,39.933,40.406,40.724,41.195,42.072,42.949,43.419,43.738,44.21,44.517,45.096,46.089
178,1,42.0947,0.03089,38.076,39.07,39.649,39.956,40.428,40.747,41.218,42.095,42.972,43.442,43.761,44.234,44.54,45.12,46.113
179,1,42.1176,0.03089,38.097,39.091,39.671,39.978,40.45,40.769,41.24,42.118,42.995,43.466,43.785,44.258,44.565,45.144,46.138
180,1,42.1403,0.03089,38.118,39.112,39.692,39.999,40.472,40.791,41.262,42.14,43.018,43.489,43.809,44.281,44.589,45.169,46.163
181,1,42.163,0.03088,38.14,39.134,39.714,40.021,40.494,40.814,41.285,42.163,43.041,43.512,43.832,44.305,44.612,45.192,46.186
182,1,42.1855,0.03088,38.16,39.155,39.735,40.043,40.516,40.835,41.307,42.186,43.064,43.536,43.855,44.328,44.636,45.216,46.211
183,1,42.2079,0.03087,38.181,39.177,39.757,40.065,40.538,40.857,41.329,42.208,43.087,43.558,43.878,44.351,44.658,45.239,46.234
184,1,42.2302,0.03087,38.202,39.197,39.778,40.086,40.56,40.879,41.351,42.23,43.109,43.581,43.901,44.375,44.682,45.263,46.259
185,1,42.2523,0.03086,38.223,39.219,39.8,40.108,40.581,40.901,41.373,42.252,43.132,43.604,43.923,44.397,44.705,45.286,46.282
