Age,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
84,0.0291,16.8016,0.08531,12.895,13.769,14.306,14.598,15.059,15.378,15.861,16.802,17.796,18.353,18.739,19.327,19.718,20.478,21.848
85,0.0259,16.8161,0.08526,12.909,13.784,14.32,14.612,15.073,15.392,15.876,16.816,17.811,18.368,18.755,19.343,19.734,20.495,21.866
86,0.0228,16.8301,0.08521,12.924,13.798,14.334,14.626,15.087,15.406,15.889,16.83,17.825,18.382,18.77,19.358,19.75,20.511,21.883
87,0.0197,16.8438,0.08516,12.938,13.811,14.347,14.639,15.101,15.42,15.903,16.844,17.839,18.397,18.784,19.373,19.765,20.526,21.9
88,0.0167,16.8571,0.08511,12.951,13.825,14.361,14.653,15.114,15.433,15.916,16.857,17.853,18.41,18.798,19.387,19.779,20.541,21.916
89,0.0137,16.8701,0.08506,12.964,13.838,14.374,14.665,15.127,15.446,15.929,16.87,17.866,18.424,18.812,19.401,19.793,20.556,21.932
90,0.0107,16.8827,0.08501,12.978,13.85,14.386,14.678,15.139,15.458,15.942,16.883,17.879,18.437,18.825,19.414,19.807,20.57,21.947
91,0.0077,16.895,0.08496,12.99,13.863,14.399,14.69,15.151,15.47,15.954,16.895,17.891,18.45,18.838,19.427,19.82,20.584,21.962
92,0.0048,16.9069,0.08492,13.002,13.875,14.41,14.702,15.163,15.482,15.966,16.907,17.903,18.462,18.85,19.44,19.834,20.598,21.977
93,0.0018,16.9186,0.08487,13.015,13.887,14.422,14.714,15.175,15.494,15.977,16.919,17.915,18.474,18.862,19.453,19.846,20.611,21.991
94,-0.0011,16.9299,0.08483,13.026,13.898,14.433,14.725,15.186,15.505,15.988,16.93,17.927,18.486,18.874,19.465,19.859,20.624,22.005
95,-0.0039,16.941,0.08478,13.038,13.91,14.445,14.736,15.197,15.516,16.0,16.941,17.938,18.497,18.886,19.477,19.871,20.636,22.018
96,-0.0068,16.9518,0.08474,13.049,13.921,14.456,14.747,15.208,15.527,16.01,16.952,17.949,18.508,18.897,19.489,19.882,20.648,22.032
97,-0.0096,16.9623,0.0847,13.06,13.931,14.466,14.758,15.218,15.537,16.021,16.962,17.96,18.519,18.908,19.5,19.894,20.66,22.045
98,-0.0124,16.9725,0.08465,13.071,13.942,14.477,14.768,15.229,15.548,16.031,16.973,17.97,18.53,18.919,19.51,19.905,20.672,22.057
99,-0.0151,16.9825,0.08461,13.082,13.952,14.487,14.778,15.239,15.558,16.041,16.983,17.98,18.54,18.929,19.521,19.916,20.683,22.069
100,-0.0179,16.9923,0.08457,13.092,13.962,14.497,14.788,15.249,15.567,16.051,16.992,17.99,18.55,18.939,19.532,19.926,20.694,22.081
101,-0.0206,17.0018,0.08453,13.102,13.972,14.506,14.798,15.258,15.577,16.06,17.002,18.0,18.56,18.949,19.542,19.937,20.705,22.093
102,-0.0233,17.0111,0.08449,13.112,13.982,14.516,14.807,15.267,15.586,16.069,17.011,18.009,18.57,18.959,19.552,19.947,20.715,22.104
103,-0.026,17.0201,0.08445,13.122,13.991,14.525,14.816,15.277,15.595,16.078,17.02,18.018,18.579,18.968,19.561,19.957,20.725,22.115
104,-0.0287,17.029,0.08441,13.132,14.001,14.534,14.826,15.286,15.604,16.087,17.029,18.027,18.588,18.978,19.571,19.966,20.735,22.126
105,-0.0313,17.0376,0.08437,13.141,14.01,14.543,14.834,15.294,15.613,16.096,17.038,18.036,18.597,18.987,19.58,19.975,20.745,22.136
106,-0.0339,17.0461,0.08433,13.151,14.019,14.552,14.843,15.303,15.622,16.104,17.046,18.045,18.605,18.995,19.589,19.984,20.754,22.146
107,-0.0365,17.0544,0.08429,13.16,14.027,14.561,14.852,15.311,15.63,16.113,17.054,18.053,18.614,19.004,19.598,19.993,20.764,22.156
108,-0.0391,17.0624,0.08426,13.168,14.036,14.569,14.86,15.319,15.638,16.121,17.062,18.061,18.622,19.012,19.606,20.002,20.773,22.167
109,-0.0416,17.0704,0.08422,13.177,14.044,14.577,14.868,15.328,15.646,16.129,17.07,18.069,18.63,19.021,19.615,20.011,20.782,22.176
110,-0.0442,17.0781,0.08418,13.186,14.053,14.585,14.876,15.336,15.654,16.137,17.078,18.077,18.638,19.028,19.623,20.019,20.79,22.186
111,-0.0467,17.0857,0.08415,13.194,14.06,14.593,14.884,15.343,15.661,16.144,17.086,18.085,18.646,19.036,19.631,20.027,20.799,22.195
112,-0.0492,17.0931,0.08411,13.202,14.069,14.601,14.892,15.351,15.669,16.152,17.093,18.092,18.654,19.044,19.639,20.035,20.807,22.204
113,-0.0517,17.1003,0.08408,13.21,14.076,14.608,14.899,15.358,15.676,16.159,17.1,18.1,18.661,19.052,19.646,20.043,20.815,22.213
114,-0.0541,17.1074,0.08404,13.218,14.084,14.616,14.906,15.365,15.684,16.166,17.107,18.107,18.668,19.059,19.654,20.05,20.823,22.221
115,-0.0566,17.1144,0.08401,13.226,14.091,14.623,14.914,15.373,15.691,16.173,17.114,18.114,18.675,19.066,19.661,20.058,20.831,22.23
116,-0.059,17.1212,0.08397,13.234,14.099,14.631,14.921,15.38,15.698,16.18,17.121,18.121,18.682,19.073,19.668,20.065,20.838,22.238
117,-0.0614,17.1279,0.08394,13.242,14.106,14.638,14.928,15.386,15.704,16.187,17.128,18.127,18.689,19.08,19.675,20.073,20.846,22.247
118,-0.0638,17.1344,0.08391,13.249,14.113,14.644,14.934,15.393,15.711,16.193,17.134,18.134,18.696,19.087,19.682,20.08,20.853,22.255
119,-0.0662,17.1409,0.08387,13.256,14.12,14.652,14.941,15.4,15.718,16.2,17.141,18.14,18.702,19.093,19.689,20.086,20.86,22.262
120,-0.0686,17.1472,0.08384,13.264,14.127,14.658,14.948,15.406,15.724,16.206,17.147,18.147,18.709,19.1,19.696,20.093,20.867,22.27
121,-0.0709,17.1533,0.08381,13.271,14.134,14.665,14.954,15.413,15.73,16.212,17.153,18.153,18.715,19.106,19.702,20.1,20.874,22.278
122,-0.0732,17.1594,0.08378,13.277,14.14,14.671,14.961,15.419,15.737,16.219,17.159,18.159,18.721,19.112,19.709,20.106,20.881,22.285
123,-0.0756,17.1653,0.08375,13.284,14.147,14.677,14.967,15.425,15.743,16.224,17.165,18.165,18.727,19.119,19.715,20.113,20.888,22.293
124,-0.0779,17.1712,0.08371,13.291,14.153,14.684,14.973,15.431,15.749,16.231,17.171,18.171,18.733,19.124,19.721,20.119,20.894,22.299
125,-0.0801,17.1769,0.08368,13.298,14.16,14.69,14.979,15.437,15.755,16.236,17.177,18.177,18.739,19.13,19.727,20.125,20.9,22.306
126,-0.0824,17.1825,0.08365,13.305,14.166,14.696,14.985,15.443,15.76,16.242,17.183,18.182,18.744,19.136,19.733,20.131,20.907,22.313
127,-0.0847,17.188,0.08362,13.311,14.172,14.702,14.991,15.449,15.766,16.248,17.188,18.188,18.75,19.142,19.738,20.137,20.913,22.32
128,-0.0869,17.1934,0.08359,13.317,14.178,14.708,14.997,15.454,15.772,16.253,17.193,18.193,18.756,19.147,19.744,20.142,20.919,22.327
129,-0.0891,17.1987,0.08356,13.324,14.184,14.713,15.003,15.46,15.777,16.258,17.199,18.198,18.761,19.153,19.749,20.148,20.925,22.333
130,-0.0913,17.2038,0.08354,13.329,14.189,14.719,15.008,15.465,15.782,16.264,17.204,18.204,18.766,19.158,19.755,20.154,20.931,22.34
131,-0.0935,17.2089,0.08351,13.335,14.195,14.724,15.013,15.471,15.788,16.269,17.209,18.209,18.771,19.163,19.76,20.159,20.936,22.346
132,-0.0957,17.2138,0.08348,13.341,14.201,14.73,15.019,15.476,15.793,16.274,17.214,18.214,18.776,19.168,19.765,20.164,20.942,22.352
133,-0.0979,17.2187,0.08345,13.347,14.206,14.735,15.024,15.481,15.798,16.279,17.219,18.219,18.781,19.173,19.77,20.169,20.947,22.358
134,-0.1,17.2234,0.08342,13.353,14.212,14.74,15.029,15.486,15.803,16.284,17.223,18.223,18.786,19.178,19.775,20.174,20.952,22.364
135,-0.1022,17.2281,0.0834,13.358,14.217,14.745,15.034,15.491,15.807,16.288,17.228,18.228,18.791,19.183,19.78,20.18,20.958,22.37
136,-0.1043,17.2326,0.08337,13.364,14.222,14.75,15.039,15.496,15.812,16.293,17.233,18.232,18.795,19.187,19.785,20.184,20.963,22.375
137,-0.1064,17.237,0.08334,13.37,14.227,14.755,15.044,15.5,15.817,16.298,17.237,18.237,18.8,19.192,19.789,20.189,20.967,22.381
138,-0.1085,17.2414,0.08332,13.375,14.232,14.76,15.048,15.505,15.821,16.302,17.241,18.241,18.804,19.196,19.794,20.194,20.972,22.386
139,-0.1106,17.2456,0.08329,13.38,14.237,14.765,15.053,15.509,15.826,16.306,17.246,18.245,18.808,19.2,19.798,20.198,20.977,22.391
140,-0.1127,17.2497,0.08326,13.385,14.242,14.77,15.058,15.514,15.83,16.311,17.25,18.249,18.812,19.204,19.803,20.202,20.981,22.396
141,-0.1147,17.2537,0.08324,13.39,14.246,14.774,15.062,15.518,15.834,16.315,17.254,18.253,18.816,19.209,19.807,20.207,20.986,22.402
142,-0.1168,17.2576,0.08321,13.395,14.251,14.778,15.066,15.522,15.838,16.319,17.258,18.257,18.82,19.212,19.811,20.21,20.99,22.406
143,-0.1188,17.2615,0.08319,13.4,14.255,14.783,15.071,15.526,15.843,16.323,17.262,18.261,18.824,19.217,19.815,20.215,20.995,22.411
144,-0.1208,17.2652,0.08316,13.405,14.26,14.787,15.075,15.53,15.847,16.327,17.265,18.265,18.828,19.22,19.819,20.218,20.998,22.415
145,-0.1229,17.2688,0.08314,13.409,14.264,14.791,15.079,15.534,15.85,16.33,17.269,18.268,18.831,19.224,19.822,20.222,21.003,22.42
146,-0.1249,17.2723,0.08311,13.414,14.269,14.795,15.083,15.538,15.854,16.334,17.272,18.272,18.835,19.227,19.826,20.226,21.006,22.424
147,-0.1269,17.2757,0.08309,13.418,14.273,14.799,15.087,15.542,15.858,16.337,17.276,18.275,18.838,19.231,19.83,20.23,21.01,22.429
148,-0.1288,17.2791,0.08306,13.423,14.277,14.803,15.09,15.546,15.861,16.341,17.279,18.278,18.842,19.234,19.833,20.233,21.014,22.433
149,-0.1308,17.2823,0.08304,13.427,14.281,14.807,15.094,15.549,15.865,16.344,17.282,18.282,18.845,19.237,19.836,20.236,21.017,22.437
150,-0.1328,17.2854,0.08302,13.431,14.284,14.81,15.098,15.552,15.868,16.347,17.285,18.285,18.848,19.24,19.839,20.24,21.021,22.441
151,-0.1347,17.2885,0.08299,13.436,14.288,14.814,15.101,15.556,15.871,16.351,17.289,18.288,18.851,19.243,19.842,20.243,21.024,22.444
152,-0.1366,17.2914,0.08297,13.44,14.292,14.817,15.104,15.559,15.875,16.354,17.291,18.291,18.854,19.246,19.845,20.246,21.027,22.448
153,-0.1386,17.2943,0.08295,13.443,14.295,14.821,15.108,15.562,15.878,16.357,17.294,18.293,18.857,19.249,19.848,20.249,21.031,22.452
154,-0.1405,17.297,0.08292,13.448,14.299,14.824,15.111,15.565,15.881,16.36,17.297,18.296,18.859,19.252,19.851,20.251,21.033,22.455
155,-0.1424,17.2997,0.0829,13.451,14.303,14.827,15.114,15.568,15.884,16.363,17.3,18.299,18.862,19.254,19.854,20.254,21.036,22.458
156,-0.1443,17.3023,0.08288,13.455,14.306,14.831,15.117,15.571,15.886,16.365,17.302,18.301,18.864,19.257,19.856,20.257,21.039,22.462
157,-0.1462,17.3048,0.08285,13.459,14.309,14.834,15.12,15.574,15.889,16.368,17.305,18.304,18.867,19.259,19.859,20.259,21.041,22.464
158,-0.148,17.3072,0.08283,13.462,14.312,14.837,15.123,15.577,15.892,16.371,17.307,18.306,18.869,19.262,19.861,20.262,21.044,22.467
159,-0.1499,17.3095,0.08281,13.466,14.315,14.84,15.126,15.58,15.895,16.373,17.31,18.308,18.871,19.264,19.863,20.264,21.047,22.47
160,-0.1518,17.3117,0.08279,13.469,14.318,14.842,15.129,15.582,15.897,16.375,17.312,18.31,18.873,19.266,19.866,20.266,21.049,22.473
161,-0.1536,17.3139,0.08277,13.472,14.321,14.845,15.131,15.585,15.899,16.378,17.314,18.312,18.876,19.268,19.868,20.269,21.051,22.476
162,-0.1554,17.316,0.08275,13.475,14.324,14.848,15.134,15.587,15.902,16.38,17.316,18.314,18.878,19.27,19.87,20.271,21.054,22.479
163,-0.1573,17.318,0.08272,13.479,14.327,14.851,15.137,15.59,15.904,16.382,17.318,18.316,18.879,19.272,19.871,20.272,21.055,22.481
164,-0.1591,17.3199,0.0827,13.482,14.33,14.853,15.139,15.592,15.906,16.384,17.32,18.318,18.881,19.274,19.873,20.274,21.057,22.483
165,-0.1609,17.3218,0.08268,13.485,14.333,14.856,15.141,15.594,15.909,16.386,17.322,18.32,18.883,19.276,19.875,20.276,21.059,22.485
166,-0.1627,17.3235,0.08266,13.488,14.335,14.858,15.144,15.596,15.911,16.388,17.324,18.321,18.884,19.277,19.877,20.278,21.061,22.488
167,-0.1645,17.3252,0.08264,13.491,14.338,14.86,15.146,15.598,15.913,16.39,17.325,18.323,18.886,19.279,19.878,20.28,21.063,22.49
168,-0.1663,17.3268,0.08262,13.494,14.34,14.862,15.148,15.6,15.914,16.392,17.327,18.325,18.887,19.28,19.88,20.281,21.065,22.492
169,-0.168,17.3284,0.0826,13.496,14.342,14.865,15.15,15.602,15.916,16.394,17.328,18.326,18.889,19.282,19.881,20.283,21.066,22.494
170,-0.1698,17.3299,0.08258,13.499,14.345,14.867,15.152,15.604,15.918,16.395,17.33,18.327,18.89,19.283,19.883,20.284,21.068,22.496
171,-0.1715,17.3313,0.08256,13.502,14.347,14.869,15.154,15.606,15.92,16.397,17.331,18.329,18.892,19.284,19.884,20.285,21.069,22.497
172,-0.1733,17.3326,0.08254,13.504,14.349,14.871,15.156,15.608,15.921,16.398,17.333,18.33,18.893,19.285,19.885,20.287,21.07,22.499
173,-0.175,17.3338,0.08252,13.507,14.351,14.873,15.158,15.609,15.923,16.4,17.334,18.331,18.894,19.286,19.886,20.288,21.072,22.5
174,-0.1768,17.335,0.0825,13.509,14.353,14.875,15.16,15.611,15.925,16.401,17.335,18.332,18.895,19.287,19.887,20.289,21.073,22.502
175,-0.1785,17.3361,0.08248,13.511,14.355,14.876,15.161,15.613,15.926,16.402,17.336,18.333,18.896,19.288,19.888,20.29,21.074,22.503
176,-0.1802,17.3371,0.08246,13.514,14.357,14.878,15.163,15.614,15.927,16.404,17.337,18.334,18.897,19.289,19.889,20.29,21.075,22.504
177,-0.1819,17.3381,0.08244,13.516,14.359,14.88,15.164,15.615,15.929,16.405,17.338,18.335,18.897,19.29,19.89,20.291,21.076,22.505
