Age,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
213,0.1134,8.2963,0.10902,5.884,6.414,6.742,6.922,7.206,7.404,7.706,8.296,8.927,9.282,9.53,9.908,10.16,10.653,11.547
214,0.113,8.3074,0.10901,5.893,6.423,6.751,6.931,7.216,7.415,7.716,8.307,8.939,9.294,9.543,9.921,10.174,10.667,11.562
215,0.1126,8.3184,0.109,5.901,6.431,6.76,6.94,7.226,7.424,7.726,8.318,8.95,9.307,9.555,9.934,10.187,10.681,11.578
216,0.1122,8.3294,0.10899,5.909,6.44,6.769,6.95,7.236,7.434,7.737,8.329,8.962,9.319,9.568,9.947,10.201,10.695,11.593
217,0.1118,8.3404,0.10898,5.917,6.449,6.779,6.959,7.245,7.444,7.747,8.34,8.974,9.331,9.58,9.96,10.214,10.709,11.608
218,0.1115,8.3513,0.10897,5.925,6.458,6.788,6.968,7.255,7.454,7.757,8.351,8.986,9.343,9.593,9.973,10.227,10.723,11.623
219,0.1111,8.3621,0.10896,5.933,6.466,6.797,6.977,7.264,7.464,7.767,8.362,8.997,9.355,9.605,9.986,10.24,10.737,11.638
220,0.1107,8.3729,0.10895,5.941,6.475,6.805,6.987,7.274,7.474,7.777,8.373,9.009,9.367,9.617,9.999,10.254,10.751,11.653
221,0.1103,8.3837,0.10894,5.949,6.483,6.814,6.996,7.283,7.483,7.787,8.384,9.02,9.379,9.63,10.011,10.267,10.764,11.668
222,0.1099,8.3944,0.10894,5.957,6.492,6.823,7.005,7.293,7.493,7.797,8.394,9.032,9.391,9.642,10.024,10.28,10.778,11.683
223,0.1096,8.4051,0.10893,5.965,6.5,6.832,7.014,7.302,7.502,7.807,8.405,9.043,9.403,9.654,10.037,10.293,10.792,11.698
224,0.1092,8.4157,0.10892,5.973,6.509,6.841,7.023,7.311,7.512,7.817,8.416,9.055,9.415,9.666,10.05,10.306,10.805,11.712
225,0.1088,8.4263,0.10891,5.98,6.517,6.85,7.032,7.321,7.522,7.827,8.426,9.066,9.427,9.678,10.062,10.319,10.819,11.727
226,0.1084,8.4369,0.10891,5.988,6.525,6.858,7.041,7.33,7.531,7.837,8.437,9.077,9.439,9.69,10.075,10.332,10.833,11.742
227,0.1081,8.4474,0.1089,5.996,6.534,6.867,7.05,7.339,7.541,7.847,8.447,9.089,9.45,9.702,10.087,10.344,10.846,11.757
228,0.1077,8.4578,0.10889,6.004,6.542,6.876,7.058,7.348,7.55,7.857,8.458,9.1,9.462,9.714,10.1,10.357,10.859,11.771
229,0.1073,8.4683,0.10889,6.011,6.55,6.884,7.067,7.358,7.559,7.866,8.468,9.111,9.474,9.726,10.112,10.37,10.873,11.786
230,0.107,8.4787,0.10888,6.019,6.559,6.893,7.076,7.367,7.569,7.876,8.479,9.122,9.485,9.738,10.124,10.383,10.886,11.8
231,0.1066,8.489,0.10887,6.026,6.567,6.902,7.085,7.376,7.578,7.886,8.489,9.133,9.497,9.75,10.137,10.395,10.899,11.814
232,0.1062,8.4993,0.10887,6.034,6.575,6.91,7.094,7.385,7.587,7.895,8.499,9.144,9.508,9.762,10.149,10.408,10.912,11.829
233,0.1059,8.5096,0.10886,6.042,6.583,6.919,7.102,7.394,7.597,7.905,8.51,9.155,9.52,9.774,10.161,10.42,10.926,11.843
234,0.1055,8.5198,0.10886,6.049,6.591,6.927,7.111,7.403,7.606,7.914,8.52,9.166,9.531,9.785,10.173,10.433,10.939,11.858
235,0.1051,8.53,0.10885,6.056,6.599,6.935,7.12,7.412,7.615,7.924,8.53,9.177,9.542,9.797,10.186,10.445,10.952,11.872
236,0.1048,8.5401,0.10885,6.064,6.607,6.944,7.128,7.42,7.624,7.933,8.54,9.188,9.554,9.809,10.198,10.458,10.965,11.886
237,0.1044,8.5502,0.10884,6.071,6.615,6.952,7.137,7.429,7.633,7.943,8.55,9.199,9.565,9.82,10.21,10.47,10.978,11.9
238,0.104,8.5603,0.10884,6.079,6.623,6.96,7.145,7.438,7.642,7.952,8.56,9.21,9.576,9.832,10.222,10.482,10.991,11.914
239,0.1037,8.5704,0.10884,6.086,6.631,6.969,7.154,7.447,7.651,7.962,8.57,9.221,9.588,9.843,10.234,10.495,11.004,11.928
240,0.1033,8.5804,0.10883,6.093,6.639,6.977,7.162,7.456,7.66,7.971,8.58,9.231,9.599,9.855,10.246,10.507,11.017,11.942
241,0.103,8.5903,0.10883,6.1,6.647,6.985,7.17,7.464,7.669,7.98,8.59,9.242,9.61,9.866,10.258,10.519,11.029,11.956
242,0.1026,8.6003,0.10882,6.108,6.655,6.993,7.179,7.473,7.678,7.989,8.6,9.253,9.621,9.878,10.269,10.531,11.042,11.97
