Age,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
81,1,40.0803,0.0294,36.439,37.339,37.864,38.142,38.57,38.859,39.286,40.08,40.875,41.302,41.59,42.019,42.297,42.822,43.722
82,1,40.1237,0.02938,36.481,37.381,37.907,38.185,38.613,38.902,39.329,40.124,40.919,41.345,41.634,42.063,42.341,42.866,43.767
83,1,40.1668,0.02936,36.522,37.423,37.949,38.227,38.655,38.945,39.371,40.167,40.962,41.389,41.678,42.107,42.385,42.91,43.811
84,1,40.2096,0.02933,36.565,37.466,37.991,38.27,38.698,38.987,39.414,40.21,41.005,41.432,41.721,42.149,42.428,42.953,43.854
85,1,40.2521,0.02931,36.606,37.508,38.033,38.312,38.74,39.029,39.456,40.252,41.048,41.475,41.764,42.193,42.471,42.997,43.898
86,1,40.2943,0.02929,36.647,37.549,38.075,38.353,38.782,39.071,39.498,40.294,41.09,41.518,41.807,42.236,42.514,43.04,43.941
87,1,40.3362,0.02927,36.688,37.59,38.116,38.394,38.823,39.113,39.54,40.336,41.133,41.56,41.849,42.278,42.557,43.083,43.985
88,1,40.3778,0.02925,36.728,37.63,38.156,38.435,38.864,39.154,39.581,40.378,41.174,41.602,41.891,42.32,42.599,43.125,44.028
89,1,40.4191,0.02922,36.769,37.672,38.198,38.476,38.906,39.195,39.622,40.419,41.216,41.643,41.933,42.362,42.64,43.167,44.069
90,1,40.4601,0.0292,36.809,37.712,38.238,38.517,38.946,39.236,39.663,40.46,41.257,41.685,41.974,42.403,42.682,43.209,44.111
91,1,40.5008,0.02918,36.849,37.751,38.278,38.557,38.986,39.276,39.704,40.501,41.298,41.726,42.015,42.445,42.724,43.25,44.153
92,1,40.5413,0.02916,36.888,37.791,38.318,38.597,39.026,39.316,39.744,40.541,41.339,41.767,42.056,42.486,42.765,43.291,44.195
93,1,40.5815,0.02914,36.927,37.83,38.357,38.636,39.066,39.356,39.784,40.582,41.379,41.807,42.097,42.527,42.806,43.333,44.236
94,1,40.6214,0.02912,36.966,37.87,38.397,38.676,39.105,39.395,39.824,40.621,41.419,41.847,42.137,42.567,42.846,43.373,44.277
95,1,40.6611,0.0291,37.005,37.908,38.436,38.715,39.145,39.435,39.863,40.661,41.459,41.887,42.177,42.607,42.887,43.414,44.318
96,1,40.7005,0.02908,37.043,37.947,38.474,38.754,39.184,39.474,39.902,40.701,41.499,41.927,42.217,42.647,42.927,43.454,44.358
97,1,40.7396,0.02907,37.08,37.985,38.512,38.792,39.222,39.512,39.941,40.74,41.538,41.967,42.257,42.688,42.967,43.495,44.399
98,1,40.7785,0.02905,37.118,38.023,38.55,38.83,39.26,39.551,39.979,40.779,41.578,42.006,42.297,42.727,43.007,43.534,44.439
99,1,40.8172,0.02903,37.156,38.061,38.589,38.868,39.299,39.589,40.018,40.817,41.616,42.045,42.336,42.766,43.046,43.574,44.479
100,1,40.8555,0.02901,37.193,38.098,38.626,38.906,39.337,39.627,40.056,40.856,41.655,42.084,42.374,42.805,43.085,43.613,44.518
